sample_id,true_serotype,true_serogroup,dataset,benchmark
NONCBL#ERR1453573,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26931893,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR600527,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR884534,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1066170,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1065290,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26818021,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR8481822,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR714700,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2090162,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1065872,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR13364638,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2681324,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR425393,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR3270720,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR908897,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1065723,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1202523,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR870219,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR980228,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR600187,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1065705,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1066185,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR505548,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR13365223,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26673014,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1788394,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR8481644,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26878631,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1065495,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26880279,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26749735,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2089836,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26884609,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR884676,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1658102,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26789647,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR13364948,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26911152,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR600463,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26595155,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR490706,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR751125,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR884513,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1594527,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2667343,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR568718,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2091171,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26883870,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26594878,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26818069,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2681200,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26817813,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR876708,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR870059,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1453690,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR3796645,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26797701,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26673646,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR980099,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26714747,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2090780,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1799717,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR4289096,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR730174,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1799767,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26714135,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2225390,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR884454,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR568732,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26750079,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR742706,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR13374642,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26789788,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR870064,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1422517,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR13364773,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR742485,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR8481820,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR876720,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26818166,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26714202,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26879709,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2090753,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR730791,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR980249,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26749795,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR714510,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2089114,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1430815,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26789217,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26672800,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR568687,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR751186,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26749730,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2091095,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26594662,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR600115,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR862473,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26930687,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1065997,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26797709,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26789579,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR449263,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26789328,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1422692,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR730350,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26877897,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR876782,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26931232,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1192041,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR884408,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR913507,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2091229,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2681199,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR908988,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26883881,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26790174,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26930182,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR13365867,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR714217,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26833629,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR774371,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR870183,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR570382,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26833737,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR774515,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26818666,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26884502,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26714808,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26910681,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26930544,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR13365129,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR701793,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26930281,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26789906,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR900652,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1202372,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR845764,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR13365235,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1066229,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26884538,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26714681,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR568771,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1540726,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1065122,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR774092,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1065306,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26911062,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2667237,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26672903,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26797311,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR884492,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26797901,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26673728,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR4289117,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR13365219,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26714717,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1430826,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR340835,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1658165,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1065677,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26878373,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR925202,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR662344,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1788517,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26930351,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR13365698,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26749995,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR742408,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2681117,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26797135,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1422472,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR3227813,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR979937,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR773914,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26910602,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26818289,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR13365013,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26818631,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26797993,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR714545,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26594783,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR751018,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR13374927,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26910435,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1065636,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1202171,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR326582,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1065924,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26789968,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR4501431,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1065264,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR5104407,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR884402,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR13364507,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR869917,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26797189,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26790173,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1065311,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2089160,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR3796761,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1065972,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR568514,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2667231,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1422670,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1658073,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26930612,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR908880,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR714665,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR13374704,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR773885,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1788068,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR600252,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2090202,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2090673,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26749351,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1422494,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR3303322,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR3796943,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR742580,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1065354,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR884528,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26834333,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR870299,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR13365755,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2680698,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR505719,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR568444,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26834511,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26797467,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR909148,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR900721,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR997607,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26910875,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR876566,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR773950,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26797926,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26884000,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR913371,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26931422,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26931126,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR869838,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1756436,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR3796786,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26931725,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR568493,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR13364608,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR730853,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26930548,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR997564,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1453501,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR13364576,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2090111,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR632996,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26930985,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR316753,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26789835,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR742472,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26911023,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR730172,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1453388,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR3227733,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26834162,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1065839,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR862280,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2667156,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26749889,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR913372,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26833933,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR596408,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26594225,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26749607,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR316929,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26884312,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26797457,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1422530,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26714736,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26884073,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1658185,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR774600,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26797196,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2667609,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR870279,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26714525,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26797943,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26884540,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26877952,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26789583,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR7567828,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26672957,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1453381,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1065435,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2090656,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR774615,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR742670,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26749294,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26797396,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26817895,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1202199,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR13364636,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26878249,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR568721,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2089618,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR884659,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR3796944,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR3899338,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26714408,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26880030,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26930365,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR773992,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1422481,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2681058,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26789735,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR979974,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2090886,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR751146,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26878601,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26910697,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR997525,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR596384,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR751015,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR600621,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26714711,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR773891,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26797116,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26931540,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR3899269,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26594368,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1795512,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26931426,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR7568072,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26877916,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1191945,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR13375069,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26931035,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1422516,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26931239,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1065432,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26749825,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR7567821,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR913422,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR13364825,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26673072,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR433909,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26749305,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26594794,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR13364731,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26883917,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26931360,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR913141,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2090915,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26594683,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR909156,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR505883,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26878649,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR742346,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2090830,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26797117,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR2681256,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26931453,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26673002,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR736933,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1065119,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26673010,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR13375058,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR1202576,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26797343,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#ERR568535,NON-CBL,NON-CBL,Training,GPS benchmark
NONCBL#SRR26880205,NON-CBL,NON-CBL,Training,GPS benchmark
